code,ko_name,en_name,description,page
ESS4131,지구의 역사,(Earth History),"이 강의는 지구의 탄생에서 현재에 이르기까지 일어난 중요한 사건들을 시간 순으로 통찰하고자 한다 지구의 진화과정을 물리학 적 화학적 생물학적 등 다양한 측면에서 들여다 볼 것이다 다루게 될 중요한 주제는 다음과 같다 지구의 생성 달의 기원 생 명의 기원 및 진화 판구조운동의 진화 대기성분의 진화 원생대 말기의 눈덩이 지구 생명의 대멸종 사건들 대륙 지각의 진화 등이다. . : , , , . , , , , , ,",158
ESS4132,지진학및실습,(Seismology and Laboratory),"매질내의 응력 작용과 지진 발생의 상호 작용을 이해하고 지진파의 전파 원리를 이해한다 이를 통해 지구에서 일어나는 판구조 론적 운동 원리와 지구 진화의 연관성을 살펴본다 지진파 분석을 통해 매질의 특성을 확인하는 기초 이론을 습득하고 이를 활용 , 하여 매질의 물리량을 계산하는 방법을 이해한다 지진 발생시 유발되는 다양한 물리적 현상과 응력강하와 파쇄현상을 살펴보고 지진재해를 줄이는 원리를 학습한다. . . . ,",158
ESS4133,퇴적환경학,(Sedimentary Environments),", , 퇴적암이 쌓이는 분지의 퇴적환경을 다룬다 대륙내 하천 호수 바람에 의해 쌓여진 풍성층 등의 퇴적환경과 해양내 천해 심해 . 등의 퇴적환경을 강의한다 지구역사의 모든 정보를 퇴적암으로부터 알아내기 위하여 퇴적환경의 원리를 습득한다 . . ,",158
ESS4135,지구환경화학및실험,(Geoenvironmental Chemistry and Laboratory),"다양한 환경조건의 지표수 및 지하수와 식수 및 폐수 처리공정시스템에서 일어나는 가장 기본적인 지화학반응들의 종류와 원리 를 설명하고 특히 중금속 및 준금속 등 다양한 오염원소들과 이들의 거동을 좌우하는 수리지화학 반응들의 기본 메커니즘을 이 해한다 또한 오염원소들의 거동에 가장 중요한 역할을 하는 대표적인 금속산화물들의 종류 및 이들의 역할에 대해 설명한다 학 기당 한두 가지 주제에 대한 수리지화학 실험을 주제에 따라 개인 혹은 그룹실험으로 진행되며 실험에 필요한 모든 절차를 조교 의 도움을 통해 직접 수행한다 마지막으로 실험을 통해 얻어진 결과를 해석하여 그 결과의 지화학적 의미를 이해함으로써 기본 적인 지화학 연구의 전 과정을 경험한다. , . . , .",158
TTP3814,지구과학교재연구법,(Teaching of Earth Science),"교직과목의 하나로 고등학교 지구과학의 교과목을 망라한 교수법을 습득시킨다. 】 천문우주학과 【 □ 교육 목적과 교육 목표 인류는 세기에 들어 빅뱅 패러다임 안에서 우주의 발달과정을 과학적으로 설명할 수 있게 되었다 우주론적 이해를 바탕 으로 별 은하 행성 생명의 탄생 또한 설명하는 것은 세기 인류 최대의 과제이다 세계 각국은 이 우주시대에 천문우주 년경 관측개시를 목표로 하는 세계최대 거대 마 분야에 그 어느 때 보다 많은 인력과 재원을 투자하고 있다 우리나라도 . 젤란망원경프로젝트에 미국 호주와 어깨를 나란히 하며 적극적으로 참여하고 있다 이와 더불어 최근 전 세계적으로 ALMA, 제임스웹우주망원경과 같은 획기적인 관측장비가 건설완료되어 활발히 활동 중이고 현재 등 학계의 판 도를 바꿀만한 후발 주자들이 준비 중이다 실로 천문우주학의 빅뱅이라 할 수 있다 또한 인공위성 제작 관리 운용 등 또한 우주시대에 중요하게 주목받고 있다 우리 학과는 은하형성과 진화 항성과 항성종족의 진화 천문광학 인공위성 과학 등 우주 , BK21Plus 등 풍부한 중대형 국책과제의 지원을 통하여 활발히 수행 시대에 걸맞은 최첨단 과학의 교육과 연구에 중점연구소 21 . , , 21 . , 2030 . , . , LSST, E-ELT, SKA, , , , . . , , , , 이과대학 ■ 157",158
AST1002,"천문우주학개론 천체관측 별의 탄생과 진화 은하와 우주의 거대구조 등 순수천문학에 관한 개론적 고찰 중심으로 하여 천문우주학 전공 , 입문자를 위한 강좌",1(Introduction to Astronomy(1)),",",160
AST1003,"천문우주학개론 2(Introduction to Astronomy(2)) , ,",,행성탐사 천문우주기기 위성궤도 및 자세 제어 등 천문우주 응용에 관한 개론적 고찰 중심으로 하여 천문우주학 전공 입문자를 이과대학 ■ 159,160
AST2102,기초천체물리학,(1) Introduction of Astrophysics(1)) .,"천문우주학과의 기초과목 빛의 기본 성질 궤도 역학 태양계의 기본적인 물리현상 탐구 , ,",161
AST2105,기초천체물리학,"(2)(Introduction of Astrophysics(2)) ,","천문우주학과의 기초과목 항성 은하 성간매질 우주 등 순수천문학 각 대상과 분야에 대한 기초천체물리 , , , 3. 전공선택",161
AST2106,위성천문학,(Space Astronomy) ESA,", 현재 미국의 탑재체 등을 포함 하는 세부적인 미션 요소들을 집중 조명함으로서 학생들로 하여금 천문학의 진보와 기술의 혁신이 같이 이루어지고 있는 상호관계를 파악 하게 함 (Radio Astronomy) 유럽의 NASA, , 등에서 추진하고 있는 핵성학 및 천체물리 위성 미션의 과학적 목적 개발 체제 신 기술 ,",161
AST3101,전파천문학,,전파천문학의 기초이론과 실제 관측을 통한 실습,161
AST3102,천체관측법,(1)(Observational Techniques),"천체 망원경의 원리와 사용법 천체 관측을 위한 좌표계와 구면 천문학 측광학과 분광학의 기본원리와 실습 , ,",161
AST3103,우주동력학 2,(1)(Astrodynamics(1)),"뉴톤 역학과 체 문제 제한 체 문제 인공위성의 궤도요소 계산법 섭동론 인공위성의 운동과 궤도역학 위성 툴 키트 이용한 위성의 추적 , 3 , , , , (STK)",161
AST3104,항성 진화론,(Stellar Evolution),"항성의 내부구조와 진화를 결정하는 물리적법칙 핵융합 반응과 중원소의 기원 항성진화이론 및 관측적 검증 방법 항선진화론을 이용한 우주의 나이 측정 , ,",161
AST3105,우주동력학,"(2)(Astrodynamics(2)) ,","인공위성의 궤도제어 초기궤도결정 특수섭동론 일반 섭동론 등 천체역학과 인공위성의 운동을 체계적이고 심도 있게 이해 위성 툴 키트 , , (STK) 를 이용한 위성의 응용구현",161
AST3106,은하와우주,(1)(Galaxies and the Universe(1)),"우리 은하의 구조와 관측적 특성 구상성단의 항성진화와 나이측정 헤일로 및 벌지의 항성종족 원소의 생성과 화학적 진화 우리은하의 진화 국부은하군 , , , ,",161
AST3107,과학영상 처리론 및 실습,(Scientific Image Data Processing),"디지털 영상자료의 처리 이론과 분석 방법 천체의 , CCD 영상자료 및 위성 수신 자료의 분석과 실습 별 추적기의 패턴인식 이론 ,",161
AST3108,천문관측기기와응용,"(Astronomical Instruments and Applications) ,","천문학 및 천체물리학 연구용으로 쓰이는 지상 관측기기 우주관측기기 자료저장 및 해석 기 조사하고 그 배경 기술들의 광범위한 응용성을 살펴본다 , 기 및 이론 연구용 기기 등의 특성을 , 우주비행학 강체운동 위성 자세역학 로켓운동 위성 궤도응용 제한 체 문제 행성탐사 우주선 등 우주비행 역학에 대한 전반적이고도 , 기본적인 개념과 응용",161
AST3109,(Space Flight Dynamics),,", , , , 3",161
AST3110,(1)(Astrophysics(1)) 천체 현상의 물리적 이해와 천체물리학의 최근 연구동향 소개,,천체물리학,161
AST4103,"은하와우주 ,",(2)(Galaxies and the Universe(2)),"외부은하분류 은하역학 항성종족 은하형성 은하진화 활동은하핵 은하단 은하형성이론 , , , , , ,",161
AST4104,우주비행체임무및개념설계,(Introduction to Spacecraft Design),우주임무의 개념 및 설계과정을 학습하고 실습을 통하여 가상의 우주임무를 직접 설계한다 우주임무 수행의 필수 요소인 우주비 행체의 탑재체와 본체 및 그 하부 시스템을 체계적으로 학습하고 실습을 통하여 탑재체와 본체를 개념적으로 설계한다. .,161
AST4105,(2)(Astrophysics(2)) 천체 현상의 물리적 이해와 천체물리학의 최근 연구동향 소개,,천체물리학,161
AST4106,우주론,(Cosmology),". 빅뱅이론에 바탕을 둔 현대주우론 이해 암흑물질 암흑에너지 급팽창 우주배경복사 소개 은하연구에 중요한 기초 . , , , . 160 ■ 2025 연세대학교 대학요람 를 , , ,",161
AST4108,졸업논문연구,(1)(Senior Thesis(1)),"천문우주과학 졸업예정 학생은 학과의 교수진중 한 명을 지도교수로 성정하고 지도교수의 지도하에 졸업논문을 작성하여야 한 다 졸업논문의 주제 및 내용은 해당 지도교수와 직접 상의하여 결정하며 적절한 수준의 과학적 글쓰기가 바탕이 된 논문을 제 . 출한다. AST4109 , , 졸업논문연구 (2)(Senior Thesis(2)) 천문우주과학 졸업예정 학생은 학과의 교수진중 한 명을 지도교수로 성정하고 지도교수의 지도하에 졸업논문을 작성하여야 한 다 졸업논문의 주제 및 내용은 해당 지도교수와 직접 상의하여 결정하며 적절한 수준의 과학적 글쓰기가 바탕이 된 논문을 제 . 출한다. , , 【대기과학과】 대기과학은 수학 물리 화학 생물 등 기초학문의 복합적 이해를 기반으로 첨단관측 및 실험 이론개발 수치실험을 통하여 지구를 구성하는 여러 시스템 즉 대기 해양 육상 해양 초고층 대기 등의 개별적 특성 및 상호 관련성을 이해하고 예측하는 학문이다 연세대학교 대기과학과는 기상환경위성 레이더 및 초음파 풍속계와 같은 첨단 관측 장비와 슈퍼컴퓨터의 활용을 통 하여 대기와 해양의 움직임을 보다 정확하게 모사 할 수 있는 연구를 수행하고 있다 이를 통하여 전통적인 일기예보 영역 외 에 세기의 가장 중요한 지구환경의 핵심문제로 대두되고 있는 기후변화 지구온난화 대기오염 이상기후 오존층파괴 등에 대한 이해 및 해결책을 제시 할 수 있는 교육 및 연구를 담당하고 있다. , , , , , , , , , , , . . , 21 , , , , 최근 들어 대기과학의 영역은 지속적으로 확장되고 있으며 분야별로는 주로 기후 변화 및 기후 시스템 모형론 중규모기상 학 수치예보 등을 다루는 대기역학 분야 구름물리 대기복사 원격탐사 오존층 등을 다루는 대기물리 분야 대기오염 대기화 , 학 미기후학 등을 다루는 대기환경 분야 그밖에 유체역학 해양물리 생물 대기 상호작용 위성기상학 자료동화 및 대기예측 성 해양 물리 고층 대기 등의 분야가 있다 특히 대기과학과는 슈퍼컴퓨터를 이용한 대규모 컴퓨터 시뮬레이션에 대해 가르 치고 연구하는 이과대학의 유일한 과이기도 하다 현재 대기과학과에는 명의 교수가 재직하고 있고 여명의 석ㆍ박사과정 학생이 재학 중이며 최근 연세대학교 자체평가에서 교육과 연구를 포괄하여 이학계열 최우수학과로 평가받은 바 있다 또한 활 발한 연구 활동으로 교육부가 주관하는 단계 사업 환경부 및 기상청의 사업 등에서 뛰어난 연구 성과를 보이고 있으 며 대기과학과 부설 지구환경연구소에서는 기상 환경 및 기후를 포함한 지구 환경 변화가 인간과 사회에 미치는 영향에 관한 과학적 규명 및 해결에 중점을 두고 대내외적인 산학연 협력연구를 수행하고 있다. , 1945 1917 년 연희대학 , 년 천문기상학과로 재출발하였다 이후 기상 이변 대기 오염 기후변화 등에 대한 이해 및 예 교 물리기상학과를 거쳐 1998 측의 중요성의 증대로 인하여 년 대기과학 전공이 분리되어 독립된 학과로서의 면모를 갖추고 보다 심도 있는 전문적인 . 교육과 연구를 수행하고 있다 현재 대기과학 전 분야에 전문지식을 갖추고 있는 교수진과 연구원들이 교육과 연구에 매진하고 , 있으며 국내외의 대기과학 전 분야 활동에서 중추적인 역할을 담당하고 있다 우리 학과동문들은 국내외 대학의 교수 기상청 환경부를 비롯한 관련 정부기관과 국내외 연구소 중고등학교 기상 환경 항공 관련 산업체 방송계 및 환경외교 관련 분야에 서 활발한 활동을 하고 있다 또한 년부터 행정고시 기술직에 기상직렬이 신설되어 매년 명의 급 공무원을 선발하고 있으며 최근 매년 합격자를 본 학과에서 배출하고 있는 등 관련 분야로의 진출이 활발하다 . , , , , , , , , , , , , , , . . 12 70 4 , BK21 , , 년 연희전문학교 기상과와 연세대학교는 년 우리나라 최초의 근대 기상학 교육을 시작하였고 , 1968 1946 , . . , , , , , 2 2008 . 5 , . , , □ 교육 목적과 교육 목표 교육목적 우리 인류가 다른 행성과 달리 지구에서 살 아 갈 수 있는 이유는 지구에는 다른 행성과 달리 독특한 대기가 있기 때문 . 이다 우리 인류 그리고 지구의 생물체는 이러한 대기의 상태에 절대적으로 의존하고 있다 연세대학교 대기과학과는 이러한 인류의 미래가 달려있는 건강한 지구환경보존을 위한 교육 연구 및 정책 분야에 국제적 선도적 역할을 담당할 수 있는 대기과 학도를 양성하는 것을 교육목적으로 하고 있다. □ . , 교육목표 대기과학과는 연세창학 이념인 진리와 자유의 정신에 입각하여 기초과학지식 함양 선도적 전문지식 함양 학문간 융합 활 . 용 지식 함양 국제적 선도적 역할 함양을 목표로 설정하고 있다 □ , , , 이과대학 ■ 161",162
ATM2105,대기과학입문,(Introduction to Atmospheric Sciences),"전공선택이 완료된 학생들 또는 대기과학 분야에 관심있는 학생들에게 대기과학 전분야에 걸친 심화된 기본지식을 강의하여 , 본격적인 대기과학 과목 이수에 대비하게 하는 과목 기후변화 대기오염 대기 및 해양순환 대기복사 구름 및 강수 등의 기본적 내용을 포함함 , . , , , 164 ■ 2025 연세대학교 대학요람",165
ATM3103,"(1)(Atmospheric Dynamics (1)) 유체역학과 열역학을 바탕으로한 대기의 운동에 관한 기술 지균 운동 equation), 대기진동 (atmospheric oscillation), 대기대순환(atmospheric general circulation)",,"대기역학 , (hydrostatic 종관운동 (synoptic motion), (mesoscale circulation), 정수 방정식 (geostrophic motion), 와도 및 순환 (planetary boundary layer), 중규모 순환 행성경계층 (baroclinic (vorticity & circulation), 경압불안정 instability),",166
"ATM3104, 3108",대기물리,"(1),(2)(Atmospheric Physics(1),(2))","대기 열역학을 바탕으로 구름입자의 생성과 성장 및 강수과정에 대한 이해 대기 광학 에어로졸 대기 전자기학 등 대기의 물리적 특성에 관한 이해 (2) , , (1), 태양복사 및 행성 대기안에서의 복사 전달 과정 ,",166
ATM4105,기후역학,(Climate Dynamics),"지구의 기후 및 그 변화와 변동에 대한 역학적 기초 기후 분포와 기후 변동 기후계의 예측성 대기대순환과 기후계 해양의 영향 기후변동론 기후계의 수치모형 , . , , , , 3. 전공선택",166
ATM2101,기후변화의 이해,"(Earth's Climate Change) ,",", 대기환경 , , , 지구 온난화 오존층의 파괴 사막화 등 전 지구에 걸친 변화를 대기 해양 생태계 등을 포함한 기후 시스템의 관점에서 이해 (Atmospheric Environment)",166
ATM2102,"대기의 구조 대기의 물리ㆍ화학적 성질 대기의 운동과 순환 등 대기환경의 근본적 요소에 대한 논의 대기질의 변화와 관련된 , 대기환경의 문제들 도시 대기오염 대기오염 물질의 장거리 수송 광화학 스모그 산성비 등 의 원리 과정 영향 등에 대한 기초 이론 습득과 실제 환경의 이해.",,", ; , , ) ( , ,",166
ATM2103 TV 표출방법 이해 및 실습 기상예보 자료 생산과정 이해 및 토론,방송기상학,(Broadcasting Meteorology),와 라디오에서 실시하는 기상예보과정이해와 방송기사 작성이론 및 실습 . . TV 와 라디오현장 실습 및 토론 기상정보방송 .,166
ATM2104,대기탐사,(Exploring the Atmosphere),"대기현상에 대한 기초적 이해를 통하여 지구시스템에서의 대기의 역할 탐구하며 주요 대기변수들의 기초적 관측방법 이해 다양. 한 기상현상 및 대기환경이해를 위한 관측자료의 해석 현장견학 및 실습 , .",166
ATM2106,대기해양순환,(Atmospheric and Oceanic Circulation),"대기와 해양은 서로 에너지 열 및 가스를 주고 받으면서 지구 기후시스템을 조정함 이에 대기 순환이 해양에 혹은 해양 순환 이 대기에 어떤 영향을 주는지 알아봄으로서 기후시스템을 보다 포괄적인 관점에서 다루는 과목 저위도 중위도 그리고 고위도 지역에서 일어나는 대기 해양 상호작용을 서술하고 크고 작은 규모의 순환에서 일어나는 대기 해양 상호작용에 대해 토론함. , . , , , . ,",166
ATM2108,도시기상학,(Urban Meteorology),"대도시가 주변 비도시 지역과 비교하여 다른 사회경제적 측면을 살펴보고 이에 따른 도시 및 그 주변 기후의 특성에 대한 이해와 활용. ATM2109 , 대기열역학 (Atmospheric Thermodynamics) . 열역학 법칙 및 건조공기와 습윤공기 수증기의 열역학에 대한 지식 습득 대기안정도에 관한 분석방법 활용 , .",166
ATM2111,태양과기후,(The Sun's influence on Climate),태양 활동의 변동이 대류권과 중고층대기의 역학적 연계 및 오존 등 화학 물질 변화를 통해 기후에 주는 영향에 대한 기본 지식의 이해.,166
ATM3105,미기상학,(Micrometeorology),"인간 활동이 이루어지고 있는 지표 부근의 대기현상에 대한 이해 지표부근의 바람 기온 습기 조건을 지배하는 물리적 과정 난류경계층 . . 이론 도시 산림 및 농업 기상 현상 , , 및 (turbulent boundary layer) Monin-Obukhov , . ,",166
ATM3106,대기관측,"(Atmospheric Measurements) ,","실제 대기 관측을 위한 측기의 종류 작동 원리 및 관리 지상 관측 고층 기구와 라디오존데 기상 레이다 기상위성 등에 대한 이론 및 실습 , , , ,",166
ATM3107,대기화학,(Atmospheric Chemistry),"대기의 주성분과 이차 성분에 대한 화학 과정의 이해 에어로졸과 오염물질의 화학 반응 오존의 광화학 반응 미량기체의 광화학적 영향 대기 성분과 기후 변동 도시 대기의 성분 분석 화학적 성분의 제어과정 대기와 생태계의 상호작용 탄소 질소 , . , , , , , , 이과대학 ■ 165",166
ATM3109,대기분석,(Atmospheric Analysis) .,"일기예보를 주 목적으로한 기상자료의 분석 종관분석 (synoptic analysis)( 분석 레이다자료의 분석 기상전문 분석 기상위성자료 분석 기후자료의 생산 , , , , 지상일기 분석 등압면 분석과 연직 분석 기단 , ),",167
ATM3110,위성기상학,(Satellite Meteorology),"기상위성의 궤도와 위성에 탑재된 원격 탐측 계기의 구조와 성능 원격 탐측 자료를 이용한 대기의 구조 조성 지표 특성의 도출 , 이론 가시 적외 및 단파복사를 이용한 기상변수의 측정 복사평형과 알베도 지표 및 해수면 온도 대기의 기온 구조 구름 , 미량대기 성분 오존 수증기 등 에어로졸 등의 위성 측정 및 응용 ), , , ; , , , , , ( ,",167
ATM3111,해양물리,(Physical Oceanography),"해양의 운동에 관한 물리학적 이해 대기 해양 상호작용 열 및 염분도 균형 해양대순환 조석 ATM3112 , , . , 준지균이론 (quasigeostrophic theory), (oceanic general circulation), 해양혼합층 (Upper Atmosphere) 해양음향학 , El Nino, , Tsunami, 고층대기 , 성층권 중간권 및 열권의 물리 화학적 이해 내부중력파 오존의 수지관계 대기의 조석 현상 지구의 자장과 변화 극광 (internal gravity waves), , , , (aurora). , Ekman (upwelling), (surface gravity waves), 층 용승 , 표면중력파 적도 진동 및 와동 (polar vortex) 의 역학 ,",167
ATM3113,기상통계분석,"(Statistical Analysis in Meteorology) , (correlation)","기상 변수의 통계적 특성평균값 표준편차 돗수분포 상관계수 등 이해 시계열 스펙트럼 분석 및 주성분 분석 상관관계 ( , ) , , , 의 통계적 예측 (time series) 의 스펙트럼 분석 시공 분포의 ,",167
ATM3114,항공기상학,(AVIATION METEOROLOGY),항공기 운항에 있어서 대기현상의 이해 및 활용 항공예보의 정확도 향상에 대기과학적 지식 습득 . .,167
ATM3119,기상프로그래밍,(Meteorological Programming),대기과학을 전공하여 대학원 이상에서 연구를 수행하게될 때 사용하게 되는 몇가지 프로그램 언어들을 실습 위주로 강의함 이. 를 통하여 빅데이터 원조인 대기과학모델 및 관측자료를 처리하여 특성을 파악하고 시각화하는 기술을 파악함,167
ATM3120,대기예측,(Atmospheric Prediction),"대기예측 전반에 대한 이해 수치기상예측의 역사 수치 모델 방정식 운동방정식의 수치적 차분 아격자 물리과정의 모수화 자 , 료동화 기초 대기예측성 딥러닝을 이용한 수치예측 , , , , , ,",167
ATM3121,대기과학빅데이터개론,(Big Data for Atmospheric Science),대기과학 분야 빅데이터를 분석하고 예측하는 방법을 학습한다.,167
ATM4101,"(2)(Atmospheric Dynamics (2)) 유체역학과 열역학을 바탕으로 한 대기의 운동에 관한 기술 지균 운동 equation), 대기진동 (atmospheric oscillation), 대기대순환(atmospheric general circulation)",,"대기역학 , 행성경계층 (baroclinic (hydrostatic 종관운동 (synoptic motion), (mesoscale circulation), 정수 방정식 (geostrophic motion), 와도 및 순환 (vorticity & circulation), 경압불안정 (planetary boundary layer), 중규모 순환 instability),",167
ATM4102,유체역학,(Fluid Dynamics),"자연계에서 나타나는 유체 현상에 대한 물리학적 이해 연속방정식 와도 (similarity theory), theory), 이상유체(two-phase . , (continuityequation), Navier-Stokes , , (boundary layer 유체불안정론 (hydrodynamic instability), 방정식 점성류 비점성류 , flows), 상사이론 (vorticity), Bernoulli 방정식 파동 현상 경계층이론 난류 회전 및 성층류 (turbulence), (rotating & stratified flows), (chaos) 혼돈현상",167
ATM4103,"전산유체역학 ,",(Computational Fluid Dynamics),"기상 현상 기후 변화 등의 재현 예측을 위한 컴퓨터를 이용한 수치모사 및 이를 위한 기본적 원리이해 유한차분법 difference methods), instability), , 유한요소법 . 계산불안정 (finite (numerical (finite element methods), (spectral methods), 분광법 (numerical weather forecast), 수치예보 기후모사 (climate simulation), (typhoon simulation). 태풍모사",167
ATM4104,대기오염,"(Air Pollution) ,","대기오염물의 종류와 발생 대기오염의 성질과 영향 대기경계층의 역학 대기오염물의 확산과 장거리 수송 대기오염물의 제거 과정 대기오염물의 화학 변환과정 광화학 스모그 산성비 등에 대한 이론의 습득과 실제적 대기 오염 문제들의 논의 . , , , , , ,",167
ATM4106,대기과학심화연구,(Advanced Research in Atmospheric Sciences),"최근 대기과학 분야에서 진행되고 있는 여러 분야의 연구를 경험해 보고 각 분야의 지도교수의 지도아래 학생들이 개별연구를 수행하는 기회를 제공한다 연구주제는 지도교수의 연구 분야 중에서 학생들의 개별적인 관심사를 고려하여 지도교수와의 상담을 통해 선정한다 실험 및 이론연구로 연구결과의 논문 형식의 과제물 또는 구두 발표가 요구된다 대기과학전공과목 중 , . . . 166 ■ 2025 연세대학교 대학요람",167
ATM4107,자료동화,(Data Assimilation),"기상 자료동화의 내용과 실제 문제에의 적용에 관한 이해 기상 자료동화 수행에 필요한 수학적 역학적 법칙들에 대한 이해 추 정이론 목적분석 최적화 최소자승법 칼만필터 변분법 앙상블 예보와 앙상블 기반 자료 동화 , . , , ATM4108 , (Weather and Climate in Practice) , 실용기상기후학 , , . 현장에서 일어나는 실제적인 기상업무에 대해 소개하고 발전방향을 제시하여 관련분야 적응 능력 배양",168
ATM4112,생물대기상호작용,(Ecosystem-Atmosphere Interaction),"생태계와 기상 기후 현상은 서로에게 영향을 주고 받으며 과거로부터 현재까지 지구의 상태와 모습을 결정지어왔다 최근 기후 위기와 더불어 이러한 생태계 기후 상호작용의 변화가 예상되며 이는 막대한 사회경제적 피해가 발생할 가능성이 높다 본 과 , 목에서는 기후위기 기후변화적응 탄소 중립과 직간접적으로 연관된 생태계 기후 상호작용을 이해하고 이에 대한 변화 과정을 이해함으로써 향후 기후위기에 대응하기 위해 농업 산림 국토 기상 등의 분야에서 이루어질 관련 정책 및 연구를 이끌어갈 수 , 있는 융합사고를 가진 리더를 양성하고자 한다. / , , , , , , . .",168
ATM4113,대기대순환개론,"(Introduction to Atmospheric General Circulation) ,","대류권과 성층권 전지구 대기 대순환 해들리 순환 페렐 순환 중위도 대류권 제트 오존과 연관된 성층권 질량 순환 에 관한 이 론의 소개 및 개괄적 이해 ( , , ) 이과대학 ■ 167",168
MAT1011,공학수학,(1)(Engineering Mathematics )Ⅰ,공학수학은 고등학교 때 배운 계산위주의 미적분학의 내용들을 수학적으로 엄밀하게 다룰 뿐 아니라 학생들로 하여금 창의성과 응용성을 갖춘 수학적 사고 체계를 심어주는데 그 목적이 있다 고급 미적분학 개념 뿐만 아니라 다양한 응용 문제들도 공부 . 대상이다.,171
MAT1012,공학수학,(2)(Engineering Mathematics )Ⅱ,170 ■ 2025 연세대학교 대학요람,171
MAT2016,공학수학 (3),(3)(Engineering Mathematics )Ⅲ,"공학수학 에서는 물리적인 세계에서 발생하는 문제의 해석 및 해결책에 대해 논의한다 주로 미분방정식을 다루며 이밖에도 , 에 대해서 Bessel's equation, Legendre's equation, Laplace transforms, Basic linear algebra, matrix eigenvalues 도 배운다. .",172
MAT2017,공학수학 (4) 과,(4)(Engineering Mathematics )Ⅳ,"공학수학 는 Fourier series equation wave equations 와 등과 같은 편미분 방정식의 vector differential calculus, 편미분방정식을 학습한다 . Fourier series boundary value problems 를 해결할 수 있다 . 를 응용하여 heat 2. 대학교양 정보와기술 영역 인정 과목 ‘ ’",172
ENG1108,공학정보처리,(Engineering Information Processing),"컴퓨터 프로그래밍 인터넷 검색 도서 정보 및 멀티미디어 활용 능력 등과 같은 기본적인 컴퓨터 활용 능력을 기반으로 전공 분 야의 특정 주제에 대해 관련 정보를 취합하고 분석하여 결과를 도출하고 전달하는 일련의 과정을 통해 기본적인 공학정보 처리 기법을 습득한다. , , ￭ 공과대학 공통 개설과목 ￭",172
ENG1107,"공학기초설계 ,",(Introduction to Engineering Design),"공학 분야 공학의 역사 및 사회적 역할에 대한 이해를 통해 공학에 가까워지며 리더십과 의사소통을 배양 창의적 사고 방법 습득 윤리적 사고 및 태도를 양성 팀 활동을 통한 창의적 문제해결을 할 수 있는 경험을 제공한다 . , , ,",172
ENG2000,창업,,102: 기업과기업가정신 Start-Up102: Enterprise and Entrepreneurship) 창업과 벤처 생태계의 활성화를 위해 창업에 관심이 있는 학생들에게 기업가정신을 함양하고자 한다 성공한 기업가들의 기업가정신과 성공전략을 사례를 통해 교육하고 시장경제의 원리를 탐구한다. .,172
ENG2005,우리마을리빙랩 캡스톤디자인 (,)(Our Town Living Lab),"이 수업은 인성과 리더십 교육을 강화해 공학 리더를 양성하고 제품기획 공리적 접근 및 창의적 모방 기획의 체험 중심 공학교육을 지향한다 이를 통해 공과대학의 여학생과 남학생들을 문제해결형 공학 리더로 양성하는 것을 목적으로 하며 전공선택학점 및 설계학점 인정여부는 학과에 따라 다르므로 확인이 필요하다. , .",172
ENG2007,창업 (Start-Up307:AI Startup) AI 본 과목은 스타트업을 창업할 수 있는 전문지식을 학습하는 과정으로 한 학기 동안 어플리케이션,,"스타트업 307:AI , . 을 기획하고 개발하는 역량을 확보하게 된다 (MVP) 융합뇌공학인문",172
ENG2009,(Introduction TO Convergent Brain Engineering),AI/ML,"등을 이용한 Web/Mobile 본 강의는 인문적 사고와 과학기술을 기반으로 우리 자신을 융합적 관점에서 폭넓게 이해할 수 있는 능력을 배양하는 것이 목적이다 마음에 대한 철학적 탐색과 함께 공학적 접근을 알아보면서 두 분야를 융합한 관점에서 우리 자신을 이해하고 앞으로 제기될 문제를 생각해 보려고 한다 특히 뇌를 중심으로 인간 이해에 관한 융합적 관점을 논의하려고 한다 이는 뇌가 인간의 . 인지 지능 감정 심리를 포함하는 정신의 근원인 동시에 물리적 특징을 갖는 자연세계의 공학적 연구 대상이기 때문이다 . . . , , ,",172
ENG2010 AIM,어드벤처디자인,(AIM Adventure Design),"모빌리티 산업분야의 사회혁신 창의인재 교육모델 구축 및 확산을 위해 인공지능 과 사물인터넷 미래 이동성 연구와 산업을 이끌 사회혁신 리더를 양성하고자 한다 . ENG2011 AI 및 (AI) 기술융합을 바탕으로 (IoT) (Mobility) 스마트테크놀로지 Ⅰ (AI Smart Technology Ⅰ ) 는 차 산업혁명 시대의 주요한 역량임에도 불구하고 기존 스마트테크놀로지 AI 수업 부담으로 인해 참여도가 낮아 교과내용을 바꾸고 평가방법 등을 개선하여 학생들의 미래역량 개발의 기회를 제공한다. AIR IoT, Robotics 4 교과목에 대한 학생들의",172
ENG2112,창업,,208: 린스타트업과고객발굴 (Start-Up 208: Lean Startup and Customer Discovery) 차 산업 혁명 시대의 빠른 기술 변화 속에서 창업에 대한 꿈을 꾸고 있는 학생들에게 성공 확률을 높일 수 있는 스타트업 창업 4 방법론을 강의한다 린스타트업 개발론을 기본으로 숙지하고 고객인터뷰를 통하여 고객이 원하는 제품 서비스를 검증하고 . / 공과대학 ■ 171,172
ENG2113,스타트업창업실전,,"창업 (Start Up 301: Practical Guide to Building a Startup) 본 수업은 아이디어에서 출발하여 비즈니스로 발전시키는 전체적인 단계와 과정을 이해하고 수업의 내용을 통해 이에 필요한 지식과 경험을 습득하는 것을 목표로 한다. ,",173
